year,day,month,Q
1929,14,Apr,18
1929,15,Apr,18
1929,16,Apr,20
1929,17,Apr,20
1929,18,Apr,17
1929,19,Apr,16
1929,20,Apr,14
1929,21,Apr,14
1929,22,Apr,14
1929,23,Apr,17
1929,24,Apr,17
1929,25,Apr,16
1929,26,Apr,16
1929,27,Apr,16
1929,28,Apr,16
1929,29,Apr,16
1929,30,Apr,16
1930,1,Apr,13
1930,2,Apr,13
1930,3,Apr,13
1930,4,Apr,13
1930,5,Apr,13
1930,6,Apr,13
1930,7,Apr,13
1930,8,Apr,13
1930,9,Apr,13
1930,10,Apr,13
1930,11,Apr,13
1930,12,Apr,13
1930,13,Apr,13
1930,14,Apr,13
1930,15,Apr,13
1930,16,Apr,13
1930,17,Apr,14
1930,18,Apr,14
1930,19,Apr,14
1930,20,Apr,14
1930,21,Apr,14
1930,22,Apr,13
1930,23,Apr,13
1930,24,Apr,12
1930,25,Apr,12
1930,26,Apr,12
1930,27,Apr,11
1930,28,Apr,11
1930,29,Apr,11
1930,30,Apr,11
1931,1,Apr,12
1931,2,Apr,12
1931,3,Apr,12
1931,4,Apr,12
1931,5,Apr,12
1931,6,Apr,12
1931,7,Apr,13
1931,8,Apr,13
1931,9,Apr,12
1931,10,Apr,12
1931,11,Apr,12
1931,12,Apr,12
1931,13,Apr,12
1931,14,Apr,12
1931,15,Apr,12
1931,16,Apr,12
1931,17,Apr,12
1931,18,Apr,12
1931,19,Apr,12
1931,20,Apr,12
1931,21,Apr,11
1931,22,Apr,11
1931,23,Apr,11
1931,24,Apr,11
1931,25,Apr,10
1931,26,Apr,10
1931,27,Apr,10
1931,28,Apr,9.85
1931,29,Apr,9.85
1931,30,Apr,9.85
1932,1,Apr,10
1932,2,Apr,10
1932,3,Apr,12
1932,4,Apr,12
1932,5,Apr,13
1932,6,Apr,13
1932,7,Apr,13
1932,8,Apr,12
1932,9,Apr,11
1932,10,Apr,9.85
1932,11,Apr,9.85
1932,12,Apr,9.85
1932,13,Apr,10
1932,14,Apr,13
1932,15,Apr,28
1932,16,Apr,28
1932,17,Apr,17
1932,18,Apr,17
1932,19,Apr,17
1932,20,Apr,15
1932,21,Apr,14
1932,22,Apr,14
1932,23,Apr,13
1932,24,Apr,13
1932,25,Apr,13
1932,26,Apr,12
1932,27,Apr,12
1932,28,Apr,12
1932,29,Apr,12
1932,30,Apr,11
1933,1,Apr,17
1933,2,Apr,17
1933,3,Apr,17
1933,4,Apr,17
1933,5,Apr,17
1933,6,Apr,17
1933,7,Apr,17
1933,8,Apr,17
1933,9,Apr,17
1933,10,Apr,17
1933,11,Apr,17
1933,12,Apr,17
1933,13,Apr,16
1933,14,Apr,16
1933,15,Apr,17
1933,16,Apr,17
1933,17,Apr,17
1933,18,Apr,17
1933,19,Apr,17
1933,20,Apr,17
1933,21,Apr,17
1933,22,Apr,17
1933,23,Apr,17
1933,24,Apr,17
1933,25,Apr,17
1933,26,Apr,17
1933,27,Apr,17
1933,28,Apr,17
1933,29,Apr,17
1933,30,Apr,17
1934,1,Apr,16
1934,2,Apr,15
1934,3,Apr,15
1934,4,Apr,15
1934,5,Apr,15
1934,6,Apr,15
1934,7,Apr,15
1934,8,Apr,14
1934,9,Apr,14
1934,10,Apr,14
1934,11,Apr,14
1934,12,Apr,14
1934,13,Apr,14
1934,14,Apr,14
1934,15,Apr,14
1934,16,Apr,14
1934,17,Apr,14
1934,18,Apr,14
1934,19,Apr,13
1934,20,Apr,14
1934,21,Apr,14
1934,22,Apr,44
1934,23,Apr,37
1934,24,Apr,27
1934,25,Apr,22
1934,26,Apr,20
1934,27,Apr,17
1934,28,Apr,17
1934,29,Apr,16
1934,30,Apr,16
1935,1,Apr,13
1935,2,Apr,13
1935,3,Apr,13
1935,4,Apr,13
1935,5,Apr,13
1935,6,Apr,13
1935,7,Apr,13
1935,8,Apr,13
1935,9,Apr,12
1935,10,Apr,12
1935,11,Apr,12
1935,12,Apr,12
1935,13,Apr,12
1935,14,Apr,12
1935,15,Apr,12
1935,16,Apr,12
1935,17,Apr,12
1935,18,Apr,12
1935,19,Apr,12
1935,20,Apr,12
1935,21,Apr,13
1935,22,Apr,14
1935,23,Apr,13
1935,24,Apr,13
1935,25,Apr,13
1935,26,Apr,14
1935,27,Apr,14
1935,28,Apr,17
1935,29,Apr,19
1935,30,Apr,17
1936,1,Apr,22
1936,2,Apr,22
1936,3,Apr,22
1936,4,Apr,22
1936,5,Apr,41
1936,6,Apr,30
1936,7,Apr,24
1936,8,Apr,22
1936,9,Apr,21
1936,10,Apr,20
1936,11,Apr,19
1936,12,Apr,18
1936,13,Apr,17
1936,14,Apr,17
1936,15,Apr,17
1936,16,Apr,18
1936,17,Apr,18
1936,18,Apr,17
1936,19,Apr,17
1936,20,Apr,17
1936,21,Apr,16
1936,22,Apr,16
1936,23,Apr,16
1936,24,Apr,16
1936,25,Apr,16
1936,26,Apr,16
1936,27,Apr,16
1936,28,Apr,15
1936,29,Apr,15
1936,30,Apr,15
1937,1,Apr,18
1937,2,Apr,18
1937,3,Apr,18
1937,4,Apr,18
1937,5,Apr,18
1937,6,Apr,18
1937,7,Apr,18
1937,8,Apr,17
1937,9,Apr,17
1937,10,Apr,17
1937,11,Apr,17
1937,12,Apr,17
1937,13,Apr,17
1937,14,Apr,17
1937,15,Apr,16
1937,16,Apr,16
1937,17,Apr,16
1937,18,Apr,16
1937,19,Apr,16
1937,20,Apr,16
1937,21,Apr,16
1937,22,Apr,16
1937,23,Apr,16
1937,24,Apr,16
1937,25,Apr,18
1937,26,Apr,24
1937,27,Apr,28
1937,28,Apr,25
1937,29,Apr,22
1937,30,Apr,27
1938,1,Apr,13
1938,2,Apr,16
1938,3,Apr,16
1938,4,Apr,16
1938,5,Apr,16
1938,6,Apr,21
1938,7,Apr,21
1938,8,Apr,18
1938,9,Apr,16
1938,10,Apr,16
1938,11,Apr,16
1938,12,Apr,18
1938,13,Apr,16
1938,14,Apr,71
1938,15,Apr,20
1938,16,Apr,18
1938,17,Apr,20
1938,18,Apr,18
1938,19,Apr,18
1938,20,Apr,17
1938,21,Apr,17
1938,22,Apr,16
1938,23,Apr,16
1938,24,Apr,16
1938,25,Apr,16
1938,26,Apr,20
1938,27,Apr,13
1938,28,Apr,13
1938,29,Apr,14
1938,30,Apr,20
1939,1,Apr,28
1939,2,Apr,28
1939,3,Apr,28
1939,4,Apr,22
1939,5,Apr,22
1939,6,Apr,22
1939,7,Apr,22
1939,8,Apr,27
1939,9,Apr,27
1939,10,Apr,27
1939,11,Apr,25
1939,12,Apr,22
1939,13,Apr,21
1939,14,Apr,20
1939,15,Apr,20
1939,16,Apr,21
1939,17,Apr,21
1939,18,Apr,21
1939,19,Apr,20
1939,20,Apr,20
1939,21,Apr,20
1939,22,Apr,20
1939,23,Apr,20
1939,24,Apr,20
1939,25,Apr,20
1939,26,Apr,27
1939,27,Apr,30
1939,28,Apr,30
1939,29,Apr,28
1939,30,Apr,28
1940,1,Apr,33
1940,2,Apr,33
1940,3,Apr,33
