year,month,day,Qvic
1978,11,8,24.6425
1978,11,9,24.2651
1978,11,10,24.8592
1978,11,11,24.4277
1978,11,12,21.9204
1978,11,13,20.0518
1978,11,14,19.2945
1978,11,15,18.7893
1978,11,16,18.8189
1978,11,17,19.0153
1978,11,18,17.9539
1978,11,19,16.4088
1978,11,20,15.8339
1978,11,21,15.3723
1978,11,22,14.9231
1978,11,23,14.4977
1978,11,24,14.0923
1978,11,25,13.7039
1978,11,26,13.331
1978,11,27,12.9731
1978,11,28,12.6297
1978,11,29,12.3002
1978,11,30,11.9839
1978,12,1,11.6801
1978,12,2,11.3875
1978,12,3,11.1027
1978,12,4,10.8189
1978,12,5,10.5329
1978,12,6,10.2453
1978,12,7,9.9555
1978,12,8,9.667
1978,12,9,11.4185
1978,12,10,16.6523
1978,12,11,18.7625
1978,12,12,14.4669
1978,12,13,10.0201
1978,12,14,8.479
1978,12,15,8.2379
1978,12,16,8.0534
1978,12,17,7.8618
1978,12,18,7.6687
1978,12,19,7.4789
1978,12,20,7.295
1978,12,21,7.1167
1978,12,22,6.9429
1978,12,23,6.7732
1978,12,24,6.607
1978,12,25,6.4445
1978,12,26,6.2859
1978,12,27,6.1311
1978,12,28,5.9806
1978,12,29,5.9389
1978,12,30,6.0607
1978,12,31,6.2316
1979,1,1,5.8841
1979,1,2,5.3556
1979,1,3,4.941
1979,1,4,4.8061
1979,1,5,4.6963
1979,1,6,4.5911
1979,1,7,4.4867
1979,1,8,4.3839
1979,1,9,4.2825
1979,1,10,4.1828
1979,1,11,4.0845
1979,1,12,3.9877
1979,1,13,3.8929
1979,1,14,3.8005
1979,1,15,3.7102
1979,1,16,3.6225
1979,1,17,3.5373
1979,1,18,3.4542
1979,1,19,3.3733
1979,1,20,3.2946
1979,1,21,3.2189
1979,1,22,3.1459
1979,1,23,3.0755
1979,1,24,3.0075
1979,1,25,2.9417
1979,1,26,2.8776
1979,1,27,2.815
1979,1,28,2.7542
1979,1,29,2.6949
1979,1,30,2.6374
1979,1,31,2.5814
1979,2,1,2.5269
1979,2,2,2.4741
1979,2,3,2.4227
1979,2,4,2.3739
1979,2,5,2.3285
1979,2,6,2.2862
1979,2,7,2.2467
1979,2,8,2.2671
1979,2,9,2.2887
1979,2,10,2.2173
1979,2,11,2.1657
1979,2,12,2.118
1979,2,13,2.0539
1979,2,14,2.0259
1979,2,15,1.9999
1979,2,16,1.9749
1979,2,17,1.951
1979,2,18,1.9275
1979,2,19,1.9045
1979,2,20,1.8819
1979,2,21,1.8595
1979,2,22,1.8373
1979,2,23,1.8154
1979,2,24,1.7938
1979,2,25,1.7728
1979,2,26,1.7518
1979,2,27,1.7312
1979,2,28,1.8026
1979,3,1,2.0841
1979,3,2,3.7201
1979,3,3,5.5415
1979,3,4,3.4141
1979,3,5,1.6971
1979,3,6,1.6338
1979,3,7,1.6247
1979,3,8,1.6151
1979,3,9,1.6047
1979,3,10,1.5939
1979,3,11,1.5829
1979,3,12,1.5711
1979,3,13,1.5595
1979,3,14,1.5475
1979,3,15,1.5353
1979,3,16,1.5229
1979,3,17,1.5105
1979,3,18,1.4982
1979,3,19,1.4862
1979,3,20,1.4739
1979,3,21,1.4619
1979,3,22,1.4501
1979,3,23,1.4381
1979,3,24,1.4263
1979,3,25,1.4145
1979,3,26,1.4029
1979,3,27,1.3916
1979,3,28,1.382
1979,3,29,1.369
1979,3,30,1.3571
1979,3,31,1.3453
1979,4,1,1.3328
1979,4,2,1.3213
1979,4,3,1.3098
1979,4,4,1.2983
1979,4,5,1.2863
1979,4,6,1.2737
1979,4,7,1.2608
1979,4,8,1.2475
1979,4,9,1.2334
1979,4,10,1.2217
1979,4,11,2.1379
1979,4,12,5.0789
1979,4,13,7.4749
1979,4,14,5.9055
1979,4,15,4.3347
1979,4,16,5.0801
1979,4,17,3.0458
1979,4,18,1.2623
1979,4,19,1.1295
1979,4,20,1.1124
1979,4,21,1.0946
1979,4,22,1.0747
1979,4,23,1.0542
1979,4,24,1.0288
1979,4,25,1.0036
1979,4,26,3.7545
1979,4,27,12.3673
1979,4,28,20.0483
1979,4,29,16.9118
1979,4,30,8.6508
1979,5,1,10.6823
1979,5,2,24.4027
1979,5,3,36.6333
1979,5,4,22.7745
1979,5,5,5.8164
1979,5,6,4.1585
1979,5,7,12.4918
1979,5,8,22.9973
1979,5,9,29.4137
1979,5,10,47.6895
1979,5,11,76.4548
1979,5,12,66.5169
1979,5,13,25.9633
1979,5,14,11.576
1979,5,15,25.2393
1979,5,16,39.6212
1979,5,17,35.2939
1979,5,18,35.5951
1979,5,19,99.0951
1979,5,20,194.9473
1979,5,21,209.9059
1979,5,22,137.7852
1979,5,23,99.2207
1979,5,24,152.2688
1979,5,25,231.7815
1979,5,26,233.5705
1979,5,27,155.6717
1979,5,28,93.3255
1979,5,29,74.7952
1979,5,30,74.3229
1979,5,31,77.5977
1979,6,1,80.3235
1979,6,2,76.1538
1979,6,3,69.6947
1979,6,4,74.153
1979,6,5,82.6312
1979,6,6,80.1327
1979,6,7,68.0738
1979,6,8,61.7781
1979,6,9,73.1949
1979,6,10,83.0227
1979,6,11,80.0383
1979,6,12,99.8755
1979,6,13,131.3409
1979,6,14,138.4284
1979,6,15,133.4291
1979,6,16,120.2508
1979,6,17,95.1431
1979,6,18,72.6614
1979,6,19,67.3903
1979,6,20,83.589
1979,6,21,95.2589
1979,6,22,90.8369
1979,6,23,86.2068
1979,6,24,73.6523
1979,6,25,57.8573
1979,6,26,51.2172
1979,6,27,49.4719
1979,6,28,48.8744
1979,6,29,48.7328
1979,6,30,47.6179
1979,7,1,45.8461
1979,7,2,44.7969
1979,7,3,50.1218
1979,7,4,58.7315
1979,7,5,53.5307
1979,7,6,39.0373
1979,7,7,32.2459
1979,7,8,33.6309
1979,7,9,35.6577
1979,7,10,35.1165
1979,7,11,52.0555
1979,7,12,104.8962
1979,7,13,134.4433
1979,7,14,100.6519
1979,7,15,58.7841
1979,7,16,42.5438
1979,7,17,55.7704
1979,7,18,73.6602
1979,7,19,63.4732
1979,7,20,46.9853
1979,7,21,43.2405
1979,7,22,59.7285
1979,7,23,78.5047
1979,7,24,69.7089
1979,7,25,49.0299
1979,7,26,37.8424
1979,7,27,41.7438
1979,7,28,60.4505
1979,7,29,75.8889
1979,7,30,65.4791
1979,7,31,45.6275
1979,8,1,46.9593
1979,8,2,71.4721
1979,8,3,98.6911
1979,8,4,127.2027
1979,8,5,156.1845
1979,8,6,146.1522
1979,8,7,134.9407
1979,8,8,135.3279
1979,8,9,128.6503
1979,8,10,115.1509
1979,8,11,95.9067
1979,8,12,82.0179
1979,8,13,79.5643
1979,8,14,79.653
1979,8,15,79.0057
1979,8,16,81.8085
1979,8,17,82.1182
1979,8,18,83.7898
1979,8,19,105.4663
1979,8,20,143.175
1979,8,21,168.2543
1979,8,22,154.476
1979,8,23,123.6515
1979,8,24,118.4493
1979,8,25,124.9032
1979,8,26,120.3991
1979,8,27,112.7056
1979,8,28,107.3929
1979,8,29,100.309
1979,8,30,98.1142
1979,8,31,100.009
1979,9,1,97.3104
1979,9,2,95.1283
1979,9,3,97.4106
1979,9,4,104.3315
1979,9,5,108.2353
1979,9,6,127.8539
1979,9,7,168.0615
1979,9,8,181.2147
1979,9,9,148.4069
1979,9,10,111.6621
1979,9,11,99.1045
1979,9,12,100.2891
1979,9,13,95.0694
1979,9,14,86.5481
1979,9,15,85.6057
1979,9,16,97.507
1979,9,17,123.0391
1979,9,18,131.1281
1979,9,19,101.891
1979,9,20,81.5811
1979,9,21,89.1791
1979,9,22,105.3135
1979,9,23,105.5355
1979,9,24,86.9282
1979,9,25,73.9263
1979,9,26,74.2591
1979,9,27,91.5107
1979,9,28,129.1103
1979,9,29,154.9631
1979,9,30,136.6107
1979,10,1,101.6868
1979,10,2,81.3577
1979,10,3,87.8479
1979,10,4,115.6913
1979,10,5,140.1365
1979,10,6,125.5045
1979,10,7,100.7661
1979,10,8,105.5601
1979,10,9,145.7849
1979,10,10,177.7237
1979,10,11,141.1682
1979,10,12,94.6161
1979,10,13,84.0441
1979,10,14,82.9863
1979,10,15,81.4095
1979,10,16,78.9609
1979,10,17,76.0688
1979,10,18,72.9029
1979,10,19,69.5952
1979,10,20,66.2456
1979,10,21,62.9242
1979,10,22,59.6751
1979,10,23,56.5241
1979,10,24,53.4961
1979,10,25,50.6151
1979,10,26,47.8909
1979,10,27,45.3218
1979,10,28,42.9037
1979,10,29,40.6552
1979,10,30,38.6207
1979,10,31,36.6709
1979,11,1,34.6939
1979,11,2,32.9209
1979,11,3,31.2921
1979,11,4,29.7719
1979,11,5,28.3551
1979,11,6,27.0342
1979,11,7,25.7989
1979,11,8,24.6414
1979,11,9,23.5591
1979,11,10,22.5493
1979,11,11,21.6071
1979,11,12,20.7257
1979,11,13,19.899
1979,11,14,19.1209
1979,11,15,18.3855
1979,11,16,17.6909
1979,11,17,17.0385
1979,11,18,16.4271
1979,11,19,15.8513
1979,11,20,15.3049
1979,11,21,14.7887
1979,11,22,14.3047
1979,11,23,13.8511
1979,11,24,13.4229
1979,11,25,13.0159
1979,11,26,12.6277
1979,11,27,12.2579
1979,11,28,11.906
1979,11,29,11.5717
1979,11,30,11.2538
1979,12,1,10.9519
1979,12,2,10.6643
1979,12,3,10.3867
1979,12,4,10.1132
1979,12,5,9.8441
1979,12,6,9.5815
1979,12,7,9.3243
1979,12,8,9.0693
1979,12,9,8.8152
1979,12,10,8.5625
1979,12,11,8.3131
1979,12,12,8.0682
1979,12,13,7.8278
1979,12,14,7.5913
1979,12,15,7.3594
1979,12,16,7.1342
1979,12,17,6.9183
1979,12,18,6.7129
1979,12,19,6.5173
1979,12,20,6.3311
1979,12,21,6.1529
1979,12,22,5.982
1979,12,23,5.8177
1979,12,24,5.6591
1979,12,25,5.507
1979,12,26,5.3611
1979,12,27,5.2197
1979,12,28,5.0812
1979,12,29,4.9461
1979,12,30,4.8159
1979,12,31,4.6917
1980,1,1,4.6074
1980,1,2,4.4918
1980,1,3,4.3813
1980,1,4,4.2693
1980,1,5,4.1592
1980,1,6,4.0523
1980,1,7,3.9479
1980,1,8,3.8464
1980,1,9,3.7471
1980,1,10,3.6503
1980,1,11,3.5563
1980,1,12,3.4643
1980,1,13,3.3743
1980,1,14,3.2865
1980,1,15,3.2014
1980,1,16,3.1195
1980,1,17,3.0405
1980,1,18,2.9644
1980,1,19,2.8913
1980,1,20,2.8211
1980,1,21,2.7532
1980,1,22,2.6878
1980,1,23,2.6245
1980,1,24,2.5637
1980,1,25,2.505
1980,1,26,2.4482
1980,1,27,2.3932
1980,1,28,2.3395
1980,1,29,2.2869
1980,1,30,2.2357
1980,1,31,2.1857
1980,2,1,2.1373
1980,2,2,2.0906
1980,2,3,2.0456
1980,2,4,2.003
1980,2,5,1.9631
1980,2,6,1.9256
1980,2,7,1.8905
1980,2,8,1.9139
1980,2,9,1.9387
1980,2,10,1.8721
1980,2,11,1.8247
1980,2,12,1.7811
1980,2,13,1.7216
1980,2,14,1.6979
1980,2,15,1.6764
1980,2,16,1.6558
1980,2,17,1.6359
1980,2,18,1.6171
1980,2,19,1.5991
1980,2,20,1.5817
1980,2,21,1.5649
1980,2,22,1.5487
1980,2,23,1.5325
1980,2,24,1.5165
1980,2,25,1.5006
1980,2,26,1.4851
1980,2,27,1.4698
1980,2,28,1.5447
1980,2,29,1.7861
1980,3,1,2.6699
1980,3,2,3.3844
1980,3,3,3.2044
1980,3,4,1.9843
1980,3,5,1.4003
1980,3,6,1.3733
1980,3,7,1.3642
1980,3,8,1.3549
1980,3,9,1.3454
1980,3,10,1.3358
1980,3,11,1.3261
1980,3,12,1.3161
1980,3,13,1.3061
1980,3,14,1.2962
1980,3,15,1.2861
1980,3,16,1.276
1980,3,17,1.2658
1980,3,18,1.2558
1980,3,19,1.2462
1980,3,20,1.2367
1980,3,21,1.2272
1980,3,22,1.2177
1980,3,23,1.2082
1980,3,24,1.1989
1980,3,25,1.1896
1980,3,26,1.1802
1980,3,27,1.1711
1980,3,28,1.1629
1980,3,29,1.1541
1980,3,30,1.1457
1980,3,31,1.1368
1980,4,1,1.1289
1980,4,2,1.121
1980,4,3,1.1128
1980,4,4,1.1045
1980,4,5,1.0961
1980,4,6,1.0875
1980,4,7,1.079
1980,4,8,1.0698
1980,4,9,1.0633
1980,4,10,1.9806
1980,4,11,4.9002
1980,4,12,7.0006
1980,4,13,5.2063
1980,4,14,4.1403
1980,4,15,4.9501
1980,4,16,2.9133
1980,4,17,1.121
1980,4,18,0.9835
1980,4,19,0.9627
1980,4,20,0.9425
1980,4,21,0.9315
1980,4,22,0.9205
1980,4,23,0.8801
1980,4,24,0.8568
1980,4,25,3.5646
1980,4,26,12.0449
1980,4,27,19.6441
1980,4,28,16.5808
1980,4,29,8.3892
1980,4,30,9.4798
1980,5,1,19.5597
1980,5,2,22.8411
1980,5,3,16.7612
1980,5,4,6.5255
1980,5,5,3.9095
1980,5,6,11.7893
1980,5,7,21.8825
1980,5,8,28.0662
1980,5,9,45.7575
1980,5,10,73.3911
1980,5,11,63.6279
1980,5,12,24.3533
1980,5,13,10.3533
1980,5,14,23.5293
1980,5,15,37.3125
1980,5,16,32.9769
1980,5,17,33.2493
1980,5,18,94.7228
1980,5,19,187.1009
1980,5,20,200.6259
1980,5,21,129.8946
1980,5,22,92.0969
1980,5,23,143.1479
1980,5,24,219.5423
1980,5,25,219.9646
1980,5,26,142.5425
1980,5,27,80.5912
1980,5,28,62.1149
1980,5,29,62.0423
1980,5,30,66.1783
1980,5,31,69.9556
1980,6,1,66.8385
1980,6,2,61.4075
1980,6,3,66.9613
1980,6,4,75.8841
1980,6,5,73.8105
1980,6,6,62.3539
1980,6,7,57.1834
1980,6,8,69.5591
1980,6,9,80.3067
1980,6,10,77.8385
1980,6,11,97.633
1980,6,12,129.9103
