year,site,do18
1980,MCC,-0.798
1981,MCC,-0.467
1982,MCC,1.181
1983,MCC,3.014
1984,MCC,0.321
1985,MCC,-1.081
1986,MCC,0.76
1987,MCC,3.178
1988,MCC,0.56
1989,MCC,0.491
1990,MCC,1.266
1991,MCC,2.588
1992,MCC,2.357
1993,MCC,3.052
1994,MCC,-0.304
1995,MCC,1.872
1996,MCC,0.177
1997,MCC,1.42
1998,MCC,2.09
1999,MCC,-0.29
2000,MCC,-0.1
2001,MCC,-2.062
2002,MCC,1.151
2003,MCC,1.909
2004,MCC,1.709
1748,PKK,-1.162498253
1749,PKK,0.678111899
1750,PKK,-0.465847468
1751,PKK,0.72003793
1752,PKK,-1.024798441
1753,PKK,-2.207007991
1754,PKK,-0.986152099
1755,PKK,-0.401529568
1756,PKK,-1.160187125
1757,PKK,-1.298452322
1758,PKK,0.786777534
1759,PKK,0.6680925
1760,PKK,-1.596608543
1761,PKK,0.34874403
1762,PKK,0.196604535
1763,PKK,-0.01546442
1764,PKK,-0.707804293
1765,PKK,-0.544226007
1766,PKK,-2.390898125
1767,PKK,-0.587300225
1768,PKK,-0.461065598
1769,PKK,-1.31440461
1770,PKK,0.427141847
1771,PKK,-0.750682719
1772,PKK,-2.07084389
1773,PKK,-0.199149219
1774,PKK,0.355300829
1775,PKK,-0.600487892
1776,PKK,-0.011409165
1777,PKK,1.060263454
1778,PKK,0.783559231
1779,PKK,0.233777204
1780,PKK,-1.519275916
1781,PKK,0.359293183
1782,PKK,0.394623321
1783,PKK,2.39238089
1784,PKK,0.203437744
1785,PKK,-1.39843296
1786,PKK,0.272880543
1787,PKK,-0.886636427
1788,PKK,-0.983914338
1789,PKK,-0.317871426
1790,PKK,0.902221114
1791,PKK,-0.262724446
1792,PKK,0.156838124
1793,PKK,0.036929982
1794,PKK,0.393640292
1795,PKK,2.092804142
1796,PKK,-1.221021197
1797,PKK,0.093727885
1798,PKK,-0.274066878
1799,PKK,0.592645292
1800,PKK,-0.703079621
1801,PKK,-2.440923694
1802,PKK,0.302688981
1803,PKK,0.850027309
1804,PKK,0.364893058
1805,PKK,-0.341906847
1806,PKK,-1.106235568
1807,PKK,0.213133203
1808,PKK,-0.421181458
1809,PKK,-0.800694198
1810,PKK,-0.937853586
1811,PKK,-0.471881361
1812,PKK,0.300622581
1813,PKK,-0.213108253
1814,PKK,-0.931163099
1815,PKK,-0.572916006
1816,PKK,0.406941737
1817,PKK,-0.210771827
1818,PKK,-1.772485851
1819,PKK,-1.532925335
1820,PKK,0.159131699
1821,PKK,0.22122438
1822,PKK,-3.08006119
1823,PKK,-1.616579549
1824,PKK,0.816367281
1825,PKK,0.166324216
1826,PKK,0.138104155
1827,PKK,-0.974751607
1828,PKK,-1.789579074
1829,PKK,-1.227849357
1830,PKK,-0.902166476
1831,PKK,-0.502942427
1832,PKK,-0.184743284
1833,PKK,-0.801475089
1834,PKK,-0.975519793
1835,PKK,-0.475921901
1836,PKK,-1.138145572
1837,PKK,-0.929835206
1838,PKK,-0.338722979
1839,PKK,-2.3432322
1840,PKK,-1.305867579
1841,PKK,-0.411637021
1842,PKK,0.189802083
1843,PKK,0.234269208
1844,PKK,-0.984505854
1845,PKK,-0.352422787
1846,PKK,-2.210021369
1847,PKK,-1.300954038
1848,PKK,-0.823585313
1849,PKK,-0.739163513
1850,PKK,-0.810288245
1851,PKK,0.842907701
1852,PKK,0.187424744
1853,PKK,-0.577862489
1854,PKK,-0.459224634
1855,PKK,0.689685878
1856,PKK,-0.295165028
1857,PKK,0.540688983
1858,PKK,0.798222115
1859,PKK,0.878331501
1860,PKK,-0.740805334
1861,PKK,-1.165260185
1862,PKK,-0.060092335
1863,PKK,0.133703873
1864,PKK,1.355316551
1865,PKK,0.050147543
1866,PKK,-0.181240265
1867,PKK,-0.499859699
1868,PKK,-0.809170376
1869,PKK,-0.105995136
1870,PKK,-0.589144269
1871,PKK,-0.407906801
1872,PKK,0.480037747
1873,PKK,-0.011637844
1874,PKK,-1.071022468
1875,PKK,-1.343677019
1876,PKK,-0.530706536
1877,PKK,1.13927509
1878,PKK,-2.448473601
1879,PKK,-1.891198146
1880,PKK,-0.170049211
1881,PKK,-0.614616397
1882,PKK,-0.619014641
1883,PKK,0.099799616
1884,PKK,0.191116934
1885,PKK,0.636399486
1886,PKK,-1.154430832
1887,PKK,0.333334078
1888,PKK,0.437939503
1889,PKK,-0.508115624
1890,PKK,-0.231800709
1891,PKK,0.791290156
1892,PKK,-1.920400928
1893,PKK,-1.944897664
1894,PKK,-0.729942239
1895,PKK,0.893613717
1896,PKK,-0.475292249
1897,PKK,-0.62298184
1898,PKK,0.293805804
1899,PKK,1.508033718
1900,PKK,-0.193959722
1901,PKK,0.15380624
1902,PKK,1.442303914
1903,PKK,-0.988617607
1904,PKK,1.051901607
1905,PKK,0.520418317
1906,PKK,0.673924244
1907,PKK,-0.603234058
1908,PKK,-1.587533628
1909,PKK,-1.519755939
1910,PKK,-1.365814034
1911,PKK,0.847754595
1912,PKK,0.453850153
1913,PKK,1.323719625
1914,PKK,0.713646097
1915,PKK,-0.382936648
1916,PKK,-0.873084273
1917,PKK,-0.905804978
1918,PKK,-0.296595433
1919,PKK,0.621122351
1920,PKK,0.360797277
1921,PKK,-0.129310391
1922,PKK,-0.355874266
1923,PKK,1.175920186
1924,PKK,0.622995448
1925,PKK,0.84685321
1926,PKK,-0.271632169
1927,PKK,0.014338625
1928,PKK,0.372421996
1929,PKK,0.490770596
1930,PKK,0.458035615
1931,PKK,0.886512382
1932,PKK,-0.112240569
1933,PKK,-0.002458364
1934,PKK,-0.716071704
1935,PKK,-0.053250779
1936,PKK,1.597885379
1937,PKK,0.092571326
1938,PKK,-0.635835191
1939,PKK,0.999253977
1940,PKK,0.242077691
1941,PKK,0.134525239
1942,PKK,-0.723562415
1943,PKK,0.04154326
1944,PKK,-0.351116862
1945,PKK,0.370315443
1946,PKK,0.669278228
1947,PKK,0.187768464
1948,PKK,0.259526839
1949,PKK,-1.232065156
1950,PKK,-0.645459093
1951,PKK,-0.417729678
1952,PKK,-0.181272419
1953,PKK,-0.089226524
1954,PKK,-0.546824221
1955,PKK,0.15592979
1956,PKK,-0.192118512
1957,PKK,0.589126247
1958,PKK,1.660372434
1959,PKK,0.225801174
1960,PKK,-0.525392303
1961,PKK,-0.919527103
1962,PKK,-0.681742495
1963,PKK,0.990253663
1964,PKK,-1.165092055
1965,PKK,0.977054251
1966,PKK,-0.271546675
1967,PKK,-0.028004281
1968,PKK,0.653111828
1969,PKK,1.59390651
1970,PKK,-1.490490306
1971,PKK,1.060832232
1972,PKK,1.207855702
1973,PKK,-1.288337979
1974,PKK,0.47047609
1975,PKK,-1.385709753
1976,PKK,0.147382959
1977,PKK,1.12400309
1978,PKK,-0.701216715
1979,PKK,1.347006457
1980,PKK,0.693176477
1981,PKK,-0.293416606
1982,PKK,-0.341139522
1983,PKK,-0.63631995
1984,PKK,-0.057605534
1985,PKK,0.423512129
1986,PKK,1.965211269
1987,PKK,0.779271822
1988,PKK,-0.440562164
1989,PKK,0.032241186
1990,PKK,0.418768085
1991,PKK,0.748518806
1992,PKK,0.498908047
1993,PKK,1.471796067
1994,PKK,0.523545453
1995,PKK,-0.596020841
1996,PKK,-0.147217964
1997,PKK,1.430000502
1998,PKK,0.643290656
1999,PKK,-0.874830941
2000,PKK,-0.016515004
2001,PKK,-0.224671839
2002,PKK,0.743498774
2003,PKK,1.263401252
2004,PKK,0.999831001
2005,PKK,0.432871647
1828,PMTK,-0.708326914
1829,PMTK,-0.488175202
