site,long,lat,species,display,location,ref
PMTK,98.9333,19.2833,Pinus merkusii,Mae Hong Son,northern Thailand,Xu et al 2015
UPML,98.865,16.088,Pinus merkusii,Umpang,central Thailand,Xu et al 2018
PKK,102.8,18.1667,Pinus merkusii,Phou Khao Khouay,central Laos,Xu et al 2019
MCC,104.06,21.4,Fokienia hodginsii,Mu Cang Chai,northern Vietnam,Xu et al 2011
