year,month,Qm
1947,4,57.63
1947,5,98.15
1947,6,134.27
1947,7,183.43
1947,8,311.65
1947,9,486.61
1947,10,296.18
1947,11,154.48
1947,12,100.14
1948,1,76.12
1948,2,53.22
1948,3,41.13
1948,4,38.79
1948,5,122.6
1948,6,124.41
1948,7,113.96
1948,8,187.66
1948,9,299.63
1948,10,538.79
1948,11,163.46
1948,12,128.65
1949,1,106.79
1949,2,72.06
1949,3,51.58
1949,4,38.7
1949,5,68.42
1949,6,93.31
1949,7,174.78
1949,8,434.5
1949,9,492.73
1949,10,402.71
1949,11,309.74
1949,12,210.38
1950,1,168.3
1950,2,97.2
1950,3,72.49
1950,4,49.68
1950,5,88.47
1950,6,155.26
1950,7,178.33
1950,8,272.59
1950,9,467.16
1950,10,530.58
1950,11,265.08
1950,12,188.87
1951,1,152.32
1951,2,99.19
1951,3,74.82
1951,4,55.04
1951,5,63.07
1951,6,189.48
1951,7,217.9
1951,8,319.42
1951,9,470.36
1951,10,505.78
1951,11,191.89
1951,12,173.15
1952,1,113.88
1952,2,75.95
1952,3,66.01
1952,4,47.6
1952,5,56.59
1952,6,78.02
1952,7,122.34
1952,8,348.71
1952,9,734.91
1952,10,300.33
1952,11,196.38
1952,12,146.1
1953,1,107.74
1953,2,104.54
1953,3,58.67
1953,4,50.71
1953,5,106.79
1953,6,133.74
1953,7,146.97
1953,8,433.3
1953,9,495.33
1953,10,345.6
1953,11,234.58
1953,12,170.04
1954,1,103.16
1954,2,67.22
1954,3,82.25
1954,4,51.15
1954,5,142.64
1954,6,147.74
1954,7,68.94
1954,8,186.27
1954,9,281.49
1954,10,317.52
1954,11,121.3
1954,12,114.56
1955,1,73.35
1955,2,43.2
1955,3,38.36
1955,4,31.29
1955,5,63.25
1955,6,162.43
1955,7,146.36
1955,8,432.17
1955,9,419.99
1955,10,232.59
1955,11,142.99
1955,12,89.68
1956,1,58.75
1956,2,38.71
1956,3,25.08
1956,4,28.12
1956,5,113.69
1956,6,92.71
1956,7,189.99
1956,8,520.56
1956,9,647.22
1956,10,273.46
1956,11,154.4
1956,12,125.89
1957,1,63.07
1957,2,37.15
1957,3,27.17
1957,4,21.96
1957,5,29.81
1957,6,110.68
1957,7,65.32
1957,8,207.53
1957,9,445.05
1957,10,258.51
1957,11,101.87
1957,12,63.76
1958,1,37.33
1958,2,36.63
1958,3,17.38
1958,4,17.2
1958,5,40.14
1958,6,52.29
1958,7,89.94
1958,8,179.63
1958,9,313.2
1958,10,180.75
1958,11,82.77
1958,12,55.47
1959,1,32.92
1959,2,19.67
1959,3,14.89
1959,4,11.83
1959,5,44.99
1959,6,80.66
1959,7,95.13
1959,8,277.77
1959,9,581.47
1959,10,292.63
1959,11,97.98
1959,12,76.64
1960,1,46.4
1960,2,34.82
1960,3,23.42
1960,4,15.15
1960,5,31.19
1960,6,31.65
1960,7,55.33
1960,8,177.55
1960,9,359.77
1960,10,187.4
1960,11,104.46
1960,12,163.3
1961,1,58.32
1961,2,34.56
1961,3,20.71
1961,4,23.76
1961,5,82.77
1961,6,101.17
1961,7,86.05
1961,8,311.65
1961,9,599.7
1961,10,355.8
1961,11,177.12
1961,12,130.72
1962,1,77.07
1962,2,50.37
1962,3,40
1962,4,26.98
1962,5,57.28
1962,6,39.92
1962,7,130.46
1962,8,228.61
1962,9,165.02
1962,10,303.61
1962,11,103.77
1962,12,79.75
1963,1,37.15
1963,2,26.51
1963,3,22.82
1963,4,18.64
1963,5,19.78
1963,6,62.22
1963,7,90.03
1963,8,387.68
